datetime,signal_name,signal_value
2026-04-20 00:00:00,signal_1,-0.0177
2026-04-20 00:01:00,signal_1,0.0035
2026-04-20 00:02:00,signal_1,0.1720
2026-04-20 00:03:00,signal_1,0.2491
2026-04-20 00:04:00,signal_1,0.1455
2026-04-20 00:05:00,signal_1,0.2903
2026-04-20 00:06:00,signal_1,0.2147
2026-04-20 00:07:00,signal_1,0.3860
2026-04-20 00:08:00,signal_1,0.3601
2026-04-20 00:09:00,signal_1,0.4496
2026-04-20 00:10:00,signal_1,0.5227
2026-04-20 00:11:00,signal_1,0.5042
2026-04-20 00:12:00,signal_1,0.5831
2026-04-20 00:13:00,signal_1,0.5581
2026-04-20 00:14:00,signal_1,0.5603
2026-04-20 00:15:00,signal_1,0.6616
2026-04-20 00:16:00,signal_1,0.6763
2026-04-20 00:17:00,signal_1,0.8083
2026-04-20 00:18:00,signal_1,0.8158
2026-04-20 00:19:00,signal_1,0.8560
2026-04-20 00:20:00,signal_1,0.7813
2026-04-20 00:21:00,signal_1,0.7796
2026-04-20 00:22:00,signal_1,0.8638
2026-04-20 00:23:00,signal_1,0.9228
2026-04-20 00:24:00,signal_1,0.9893
2026-04-20 00:25:00,signal_1,0.9193
2026-04-20 00:26:00,signal_1,0.9111
2026-04-20 00:27:00,signal_1,0.9031
2026-04-20 00:28:00,signal_1,1.0682
2026-04-20 00:29:00,signal_1,0.9745
2026-04-20 00:30:00,signal_1,1.0559
2026-04-20 00:31:00,signal_1,1.0129
2026-04-20 00:32:00,signal_1,0.9030
2026-04-20 00:33:00,signal_1,1.0759
2026-04-20 00:34:00,signal_1,1.0345
2026-04-20 00:35:00,signal_1,0.9791
2026-04-20 00:36:00,signal_1,0.9865
2026-04-20 00:37:00,signal_1,0.9398
2026-04-20 00:38:00,signal_1,1.0366
2026-04-20 00:39:00,signal_1,1.0193
2026-04-20 00:40:00,signal_1,0.9853
2026-04-20 00:41:00,signal_1,0.8957
2026-04-20 00:42:00,signal_1,0.9528
2026-04-20 00:43:00,signal_1,0.9327
2026-04-20 00:44:00,signal_1,0.8293
2026-04-20 00:45:00,signal_1,0.7672
2026-04-20 00:46:00,signal_1,0.6819
2026-04-20 00:47:00,signal_1,0.7863
2026-04-20 00:48:00,signal_1,0.7393
2026-04-20 00:49:00,signal_1,0.5446
2026-04-20 00:50:00,signal_1,0.6066
2026-04-20 00:51:00,signal_1,0.4911
2026-04-20 00:52:00,signal_1,0.6094
